decade, abiealba, fagusilv, elevation, area
1, 1782.4, 1420.8, 656, 0.3125
1, 1501.71, 1629.71, 657, 0.4375
1, 1753.14, 1837.71, 658, 0.4375
1, 1446, 1930, 659, 0.5
1, 1730.29, 1757.71, 660, 0.4375
1, 1104, 2182.86, 661, 0.4375
1, 883.2, 2604.8, 662, 0.3125
1, 1264, 2316.8, 663, 0.3125
1, 1995.43, 1257.14, 664, 0.4375
1, 1556, 2008, 665, 0.25
1, 1658.67, 1749.33, 666, 0.1875
1, 1325.71, 2128, 667, 0.4375
1, 1676, 2050, 668, 0.5
1, 1681.6, 1753.6, 669, 0.625
1, 1586.67, 1773.33, 670, 0.375
1, 1517.33, 1920, 671, 0.375
1, 1715.2, 1878.4, 672, 0.3125
1, 1024, 2508, 673, 0.25
1, 1749.33, 1781.33, 674, 0.75
1, 1452, 2076, 675, 0.25
1, 784, 3088, 676, 0.125
1, 1851.43, 1808, 677, 0.4375
1, 1237.82, 2210.91, 678, 0.6875
1, 1555.56, 2058.67, 679, 0.5625
1, 1274.67, 2204.44, 680, 0.5625
1, 2429.33, 1042.67, 681, 0.375
1, 1392, 2470.4, 682, 0.3125
1, 1584, 1872, 683, 0.25
1, 1619.56, 1944.89, 684, 0.5625
1, 1708.8, 2048, 685, 0.3125
1, 1553.78, 2204.44, 686, 0.5625
1, 1431.11, 2200.89, 687, 0.5625
1, 2038.4, 1580.8, 688, 0.3125
1, 2505.14, 1074.29, 689, 0.4375
1, 1554.67, 1989.33, 690, 0.375
1, 1734.86, 2061.71, 691, 0.4375
1, 1766.67, 2073.33, 692, 0.75
1, 1750.4, 2057.6, 693, 0.3125
1, 1384, 2376, 694, 0.25
1, 1821.33, 1909.33, 695, 0.375
1, 1685.33, 1509.33, 696, 0.1875
1, 1298, 2468, 697, 0.5
1, 1997.54, 1664, 698, 0.8125
1, 1624, 2004, 699, 0.25
1, 1716, 1933.33, 700, 0.75
1, 1282.29, 2596.57, 701, 0.4375
1, 1245.09, 2410.18, 702, 0.6875
1, 1712, 1837.71, 703, 0.4375
1, 1691.2, 1891.2, 704, 0.625
1, 1086.77, 2745.85, 705, 0.8125
1, 1534, 2170, 706, 1
1, 2046.55, 1626.18, 707, 0.6875
1, 1782.67, 2052, 708, 0.75
1, 1342.22, 2492.44, 709, 0.5625
1, 1729.14, 2038.86, 710, 0.875
1, 1557.82, 2005.82, 711, 0.6875
1, 1404, 2067, 712, 1
1, 1938.67, 1753.33, 713, 0.75
1, 2000, 1632, 714, 0.5625
1, 2072.89, 1575.11, 715, 1.125
1, 2029.71, 1625.14, 716, 0.875
1, 1474, 2194, 717, 0.5
1, 2033.78, 1678.22, 718, 0.5625
1, 1886.77, 1772.31, 719, 0.8125
1, 1392, 2361.14, 720, 0.4375
1, 1883.64, 1805.09, 721, 0.6875
1, 1688.62, 1964.31, 722, 0.8125
1, 1178.67, 2512, 723, 0.375
1, 1696, 2004.92, 724, 0.8125
1, 1776, 2006.86, 725, 0.4375
1, 1708, 2012, 726, 1
1, 2154.67, 1633.78, 727, 0.5625
1, 2005.82, 1749.82, 728, 0.6875
1, 1774.55, 1911.27, 729, 0.6875
1, 1732.36, 1806.55, 730, 0.6875
1, 1926.4, 1728, 731, 0.625
1, 2035.2, 1609.6, 732, 0.9375
1, 2134.4, 1638.4, 733, 0.625
1, 1620.8, 1873.6, 734, 0.625
1, 1696, 1975.53, 735, 1.0625
1, 1664, 2090.67, 736, 0.5625
1, 2112, 1441.33, 737, 0.75
1, 1840, 1594.67, 738, 0.5625
1, 1283.56, 2243.56, 739, 0.5625
1, 2213.33, 1528, 740, 0.75
1, 1977.6, 2000, 741, 0.625
